feature,importance,std
demand_current,280.83373570885004,1.037461032660304
Hour,90.83806051411014,0.776234170949489
demand_lag_168h,59.33823300643492,0.9295180994991376
hour_cos,36.980576222238184,0.19658563476927285
rolling_mean_24h,18.75431686205109,0.2646739180354975
station,14.024400140958125,0.24596149812812446
demand_lag_24h,13.816313963188781,0.19692852035376504
demand_lag_1h,10.606681468424776,0.37080804098426173
demand_lag_2h,9.315809955040065,0.4182106214176382
hour_sin,8.059459552011521,0.16809375056493095
pres,6.004622626445439,0.13661979032917998
rolling_mean_6h,5.2458835566692015,0.08579036240890607
demand_lag_3h,4.204222121127927,0.1430962619601136
day_of_week_num,4.099284898673291,0.19828722297033127
rolling_mean_3h,3.115905156672747,0.12308758430045316
temp,1.0468164274479803,0.03166360964370273
rhum,0.9361349488206201,0.10983058661207253
is_weekend,0.11321815822561945,0.021119950444917233
prcp,0.04466755156803685,0.04723075461839551
coco,0.036657414543812196,0.01785947054939117
is_working_day_proxy,0.03519512664794604,0.009089986209590175
cldc,0.0190499572683251,0.02836441736287085
is_day_after_public_holiday,0.0,0.0
is_public_holiday,0.0,0.0
month_num,0.0,0.0
is_day_before_public_holiday,0.0,0.0
is_major_city_event,0.0,0.0
wspd,-0.04434356686905403,0.022542147784076642
