model,n,MAE,RMSE,R2,sMAPE_%,WAPE_%,split
Same hour previous week,17845.0,45.694424208461754,100.44669718065728,0.9579918167358197,17.121593156028077,12.308407792566141,test
Same hour previous day,17845.0,91.72143457551135,224.0936469929109,0.7909155827303574,31.226114542693768,24.70640214053753,test
Last observed demand,17845.0,127.97472681423368,236.97696745572358,0.76618366282334,53.283331910443266,34.471714045149206,test
Ridge,,110.86088400968576,187.4744908877762,0.8629493481350436,78.0140405671029,30.00138506702392,validation
Ridge,,110.43838112585804,180.39472875005288,0.8645090575392962,78.2645848953624,29.74806345401284,test
Random Forest,,61.27139523344721,124.7809132788153,0.9392854109749706,58.973921742018256,16.581382499456346,validation
Random Forest,,59.51009419257147,117.99862328261068,0.9420282436445666,57.36180813458024,16.02984433624948,test
XGBoost,,47.68462659695829,95.0369632784217,0.9647806090509184,56.29464920635219,12.904505110996643,validation
XGBoost,,47.356630647529,92.1621051288275,0.9646355140245325,55.313162550079085,12.75614545513374,test
