experiment,n_test,MAE,RMSE,R2,sMAPE_%,WAPE_%
E4_Full_Temporal,17845,42.708986380856466,83.61582841969538,0.9708901765556875,54.243807917290596,11.50423995681707
E2_Time_Calendar,17845,55.60445156737131,100.3246868467166,0.958093807537679,59.72842551398977,14.977806960667667
E1_Time_Station,17845,55.992819694896625,101.5105121687875,0.9570973008793193,59.6577526640813,15.082419139724992
E3_Time_Calendar_Weather,17845,60.046619276538216,107.6126846203806,0.9517841852964618,61.25477150844325,16.174364584371585
