Hour,MAE,Mean_Error
0,2.512279079694655,0.7853081223543689
1,1.765190612993526,0.014809971425926669
2,2.2906092457308707,0.9436991708540174
3,6.839569022173344,1.6256195255262227
4,16.92673954385591,-6.65466065760677
5,27.79478199813899,6.248127539793012
6,55.804319897489535,16.558215556214932
7,60.10354393138145,12.72727402019373
8,71.52479778427676,36.2789549974393
9,77.79417588975694,46.07756834017385
10,54.80752982480459,17.650120498984055
11,43.653882112209416,0.02631904928878927
12,50.992159959622015,-5.837824564861006
13,48.73279563107165,-2.039001605277719
14,55.48539047547612,-0.9760760775850799
15,57.84479267370589,-1.3730856858423277
16,83.89133809816087,-9.920455769203114
17,91.20578375207373,5.021378365226858
18,67.37934758034416,10.606434312690213
19,57.16596039615003,-28.407385937181342
20,43.05367723845414,-19.57218630278765
21,28.854145501990875,-1.734889506655365
22,11.077969993657895,0.7544477607461423
23,3.1156312119024974,-0.8819217004543956
