datetime,Date,station,target_next_hour,Hour,day_of_week_num,month_num,hour_sin,hour_cos,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday
2025-08-11 00:00:00,2025-08-11,Attiguppe,0.0,0,0,8,0.0,1.0,0,0,0,1,0,0
2025-08-11 01:00:00,2025-08-11,Attiguppe,0.0,1,0,8,0.25881904510252074,0.9659258262890683,0,0,0,1,0,0
2025-08-11 02:00:00,2025-08-11,Attiguppe,0.0,2,0,8,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0
2025-08-11 03:00:00,2025-08-11,Attiguppe,5.0,3,0,8,0.7071067811865476,0.7071067811865476,0,0,0,1,0,0
2025-08-11 04:00:00,2025-08-11,Attiguppe,85.0,4,0,8,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0
2025-08-11 05:00:00,2025-08-11,Attiguppe,232.0,5,0,8,0.9659258262890683,0.25881904510252074,0,0,0,1,0,0
2025-08-11 06:00:00,2025-08-11,Attiguppe,640.0,6,0,8,1.0,6.123233995736766e-17,0,0,0,1,0,0
2025-08-11 07:00:00,2025-08-11,Attiguppe,1634.0,7,0,8,0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0
2025-08-11 08:00:00,2025-08-11,Attiguppe,1901.0,8,0,8,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0
2025-08-11 09:00:00,2025-08-11,Attiguppe,1209.0,9,0,8,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0
2025-08-11 10:00:00,2025-08-11,Attiguppe,601.0,10,0,8,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0
2025-08-11 11:00:00,2025-08-11,Attiguppe,379.0,11,0,8,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0
2025-08-11 12:00:00,2025-08-11,Attiguppe,349.0,12,0,8,1.2246467991473532e-16,-1.0,0,0,0,1,0,0
2025-08-11 13:00:00,2025-08-11,Attiguppe,313.0,13,0,8,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0
2025-08-11 14:00:00,2025-08-11,Attiguppe,302.0,14,0,8,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,0
2025-08-11 15:00:00,2025-08-11,Attiguppe,304.0,15,0,8,-0.7071067811865471,-0.7071067811865479,0,0,0,1,0,0
2025-08-11 16:00:00,2025-08-11,Attiguppe,303.0,16,0,8,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0,0
2025-08-11 17:00:00,2025-08-11,Attiguppe,314.0,17,0,8,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0
2025-08-11 18:00:00,2025-08-11,Attiguppe,334.0,18,0,8,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0
2025-08-11 19:00:00,2025-08-11,Attiguppe,217.0,19,0,8,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0
2025-08-11 20:00:00,2025-08-11,Attiguppe,162.0,20,0,8,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0
2025-08-11 21:00:00,2025-08-11,Attiguppe,88.0,21,0,8,-0.7071067811865477,0.7071067811865474,0,0,0,1,0,0
2025-08-11 22:00:00,2025-08-11,Attiguppe,4.0,22,0,8,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0
2025-08-11 23:00:00,2025-08-11,Attiguppe,0.0,23,0,8,-0.25881904510252157,0.9659258262890681,0,0,0,1,0,0
2025-08-12 00:00:00,2025-08-12,Attiguppe,0.0,0,1,8,0.0,1.0,0,0,0,1,0,0
